hyper_threshold,stability_threshold,hit_rate,total_return,max_drawdown,sharpe
0.3,0.8,0.03283173734610123,0.06761588722636058,-0.008716048518082341,1.3511874625529139
0.3,0.85,0.03283173734610123,0.06761588722636058,-0.008716048518082341,1.3511874625529139
0.3,0.9,0.03283173734610123,0.06761588722636058,-0.008716048518082341,1.3511874625529139
0.3,0.95,0.03283173734610123,0.06761588722636058,-0.008716048518082341,1.3511874625529139
0.35,0.8,0.04514363885088919,0.09421891589910114,-0.0183326803698797,1.4339148551118852
0.35,0.85,0.04514363885088919,0.09421891589910114,-0.0183326803698797,1.4339148551118852
0.35,0.9,0.04514363885088919,0.09421891589910114,-0.0183326803698797,1.4339148551118852
0.35,0.95,0.04514363885088919,0.09454267031963548,-0.01556940708086683,1.5101229112369743
0.4,0.8,0.06566347469220246,0.08397121271807606,-0.05014900343317948,0.9189758279374092
0.4,0.85,0.06566347469220246,0.08397121271807606,-0.05014900343317948,0.9189758279374092
0.4,0.9,0.06566347469220246,0.08397121271807606,-0.05014900343317948,0.9189758279374092
0.4,0.95,0.06566347469220246,0.08362906791704594,-0.05014900343317973,0.9391971552865829
0.45,0.8,0.08618331053351573,0.04747290769250645,-0.09079625739127645,0.4581425938575579
0.45,0.85,0.08618331053351573,0.04747290769250645,-0.09079625739127645,0.4581425938575579
0.45,0.9,0.08618331053351573,0.04747290769250645,-0.09079625739127645,0.4581425938575579
0.45,0.95,0.08618331053351573,0.045139973281425716,-0.09079625739127685,0.44508099009032204
0.5,0.8,0.13679890560875513,-0.06205406621577181,-0.18545488135049992,-0.5095243119627938
0.5,0.85,0.13679890560875513,-0.06205406621577181,-0.18545488135049992,-0.5095243119627938
0.5,0.9,0.13679890560875513,-0.06205406621577181,-0.18545488135049992,-0.5095243119627938
0.5,0.95,0.13679890560875513,-0.06434620787915268,-0.186534203374635,-0.5390355611458627
0.55,0.8,0.265389876880985,-0.1880330327387415,-0.29608571682413887,-1.2215880060479838
0.55,0.85,0.265389876880985,-0.1880330327387415,-0.29608571682413887,-1.2215880060479838
0.55,0.9,0.265389876880985,-0.1892723045447361,-0.2986467517833667,-1.2270451135512486
0.55,0.95,0.265389876880985,-0.18736833488227744,-0.29590151612354326,-1.2333588199800993
